session,wave,copy,target,iterations,wall_s,cpu_s,exit_code
8,10,1,ini-ops,75000,40.7,23.3,0
8,10,1,properties-ops,75000,46.3,29.4,0
8,10,1,xml-ops,75000,9.4,4.8,0
8,10,1,plist-ops,75000,9.4,6,0
8,10,1,hcl-ops,75000,33,15.9,0
8,10,1,protocol-decode,800000,45.8,29.6,0
8,10,2,json-parse,400000,54,38.4,0
8,10,2,toml-parse,400000,41.2,25.5,0
8,10,2,yaml-parse,400000,63.7,48.5,0
8,10,2,ini-parse,400000,62.6,46,0
8,10,2,properties-parse,400000,66.2,48.7,0
8,10,2,xml-parse,400000,26.3,16,0
8,10,2,plist-parse,400000,29.9,21.4,0
8,10,2,hcl-parse,400000,49.8,39.4,0
8,10,2,json-ops,75000,24.2,15.9,0
8,10,2,toml-ops,75000,13.5,7.8,0
8,10,2,yaml-ops,75000,26.8,18.8,0
8,10,2,ini-ops,75000,28.8,20.1,0
8,10,2,properties-ops,75000,37.5,29.9,0
8,10,2,xml-ops,75000,6.7,4.9,0
8,10,2,plist-ops,75000,9.3,5.6,0
8,10,2,hcl-ops,75000,21.1,14.1,0
8,10,2,protocol-decode,800000,40.1,28.7,0
8,10,3,json-parse,400000,47.7,37.8,0
8,10,3,toml-parse,400000,35,24.8,0
8,10,3,yaml-parse,400000,56.9,47.9,0
8,10,3,ini-parse,400000,57.9,47.2,0
8,10,3,properties-parse,400000,61.5,50.6,0
8,10,3,xml-parse,400000,21.6,14.9,0
8,10,3,plist-parse,400000,30.8,21.4,0
8,10,3,hcl-parse,400000,50.3,39.4,0
8,10,3,json-ops,75000,22.6,15.7,0
8,10,3,toml-ops,75000,12.8,8,0
8,10,3,yaml-ops,75000,29.8,19.9,0
8,10,3,ini-ops,75000,32.3,20.9,0
8,10,3,properties-ops,75000,41,29.4,0
8,10,3,xml-ops,75000,9.7,4.9,0
8,10,3,plist-ops,75000,11.3,6,0
8,10,3,hcl-ops,75000,19.5,13.6,0
8,10,3,protocol-decode,800000,39.5,28.6,0
8,11,1,json-parse,400000,52.4,36.7,0
8,11,1,toml-parse,400000,42.7,24.8,0
8,11,1,yaml-parse,400000,60.6,41.9,0
8,11,1,ini-parse,400000,61.1,43.9,0
8,11,1,properties-parse,400000,63.1,45.2,0
8,11,1,xml-parse,400000,19.6,14.9,0
8,11,1,plist-parse,400000,36.5,20.3,0
8,11,1,hcl-parse,400000,51.9,40.2,0
8,11,1,json-ops,75000,23.7,15,0
8,11,1,toml-ops,75000,19.5,7,0
8,11,1,yaml-ops,75000,38.5,20.1,0
8,11,1,ini-ops,75000,36.5,20.5,0
8,11,1,properties-ops,75000,48.2,29.4,0
8,11,1,xml-ops,75000,14.2,4.6,0
8,11,1,plist-ops,75000,10.1,5.8,0
8,11,1,hcl-ops,75000,27.8,13,0
8,11,1,protocol-decode,800000,45.7,28.7,0
8,11,2,json-parse,400000,53.4,37.8,0
8,11,2,toml-parse,400000,39.5,24,0
8,11,2,yaml-parse,400000,60,46.5,0
8,11,2,ini-parse,400000,61,43.7,0
8,11,2,properties-parse,400000,63.6,44.8,0
8,11,2,xml-parse,400000,31.8,14.4,0
8,11,2,plist-parse,400000,40,21.2,0
8,11,2,hcl-parse,400000,54.4,37.4,0
8,11,2,json-ops,75000,21,14.6,0
8,11,2,toml-ops,75000,12.1,7.6,0
8,11,2,yaml-ops,75000,24.1,18.7,0
8,11,2,ini-ops,75000,22.1,18.8,0
8,11,2,properties-ops,75000,43.6,28.7,0
8,11,2,xml-ops,75000,12.1,5.3,0
